x,z,erosion,U,βz,h_wb,slope
1315.0,1895.9954545454545,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1320.0,1895.6,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1325.0,1895.2045454545455,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1330.0,1894.8090909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1335.0,1894.4136363636364,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1340.0,1894.0181818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1345.0,1893.6227272727274,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1350.0,1893.2272727272727,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1355.0,1892.831818181818,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1360.0,1892.4363636363637,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1365.0,1892.040909090909,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1370.0,1891.6454545454546,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1375.0,1891.25,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1380.0,1890.8545454545454,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1385.0,1890.459090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1390.0,1890.0636363636363,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1395.0,1889.668181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1400.0,1889.2727272727273,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1405.0,1888.8772727272728,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1410.0,1888.4818181818182,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1415.0,1888.0863636363636,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
1420.0,1887.6909090909091,0.0,0.0,5.718571428571429e-6,63.0,-0.07909090909090909
